onset	duration	trial_type	stim_file
0.0	1.0	C-3rd	6.png
4.0	1.0	D-2nd	2.png
6.0	1.0	D-1st	11.png
8.0	1.0	C-1st	7.png
14.0	1.0	A-2nd	8.png
16.0	1.0	D-3rd	4.png
18.0	1.0	B-2nd	3.png
26.0	1.0	C-2nd	1.png
28.0	1.0	A-1st	10.png
30.0	1.0	B-1st	12.png
34.0	1.0	B-3rd	5.png
36.0	1.0	D-1st	11.png
44.0	1.0	C-3rd	6.png
48.0	1.0	B-3rd	5.png
50.0	1.0	C-2nd	1.png
52.0	1.0	A-3rd	9.png
54.0	1.0	D-2nd	2.png
56.0	1.0	B-2nd	3.png
58.0	1.0	A-2nd	8.png
64.0	1.0	D-3rd	4.png
66.0	1.0	B-1st	12.png
70.0	1.0	A-1st	10.png
72.0	1.0	B-3rd	5.png
74.0	1.0	C-3rd	6.png
78.0	1.0	C-2nd	1.png
80.0	1.0	A-1st	10.png
86.0	1.0	A-2nd	8.png
88.0	1.0	B-2nd	3.png
92.0	1.0	D-1st	11.png
98.0	1.0	B-1st	12.png
100.0	1.0	A-3rd	9.png
104.0	1.0	C-1st	7.png
108.0	1.0	D-3rd	4.png
