onset	duration	trial_type	stim_file
0.0	1.0	D-1st	7.png
2.0	1.0	D-2nd	6.png
6.0	1.0	D-3rd	12.png
8.0	1.0	B-1st	3.png
14.0	1.0	B-3rd	5.png
20.0	1.0	C-1st	2.png
24.0	1.0	C-2nd	8.png
26.0	1.0	C-3rd	9.png
28.0	1.0	A-1st	11.png
30.0	1.0	A-2nd	10.png
32.0	1.0	A-3rd	1.png
34.0	1.0	D-1st	7.png
36.0	1.0	D-2nd	6.png
38.0	1.0	D-3rd	12.png
44.0	1.0	B-2nd	4.png
50.0	1.0	B-3rd	5.png
52.0	1.0	A-1st	11.png
54.0	1.0	A-2nd	10.png
56.0	1.0	A-3rd	1.png
60.0	1.0	C-1st	2.png
62.0	1.0	C-2nd	8.png
64.0	1.0	C-3rd	9.png
68.0	1.0	A-2nd	10.png
70.0	1.0	A-3rd	1.png
72.0	1.0	B-1st	3.png
74.0	1.0	B-2nd	4.png
76.0	1.0	B-3rd	5.png
78.0	1.0	D-1st	7.png
80.0	1.0	D-2nd	6.png
82.0	1.0	D-3rd	12.png
88.0	1.0	C-1st	2.png
92.0	1.0	C-2nd	8.png
96.0	1.0	C-3rd	9.png
104.0	1.0	B-2nd	4.png
106.0	1.0	B-3rd	5.png
112.0	1.0	D-1st	7.png
114.0	1.0	D-2nd	6.png
120.0	1.0	D-3rd	12.png
126.0	1.0	A-1st	11.png
130.0	1.0	A-2nd	10.png
134.0	1.0	A-3rd	1.png
136.0	1.0	C-1st	2.png
144.0	1.0	C-3rd	9.png
150.0	1.0	A-1st	11.png
154.0	1.0	A-2nd	10.png
156.0	1.0	A-3rd	1.png
160.0	1.0	D-1st	7.png
166.0	1.0	D-3rd	12.png
168.0	1.0	B-1st	3.png
172.0	1.0	B-2nd	4.png
176.0	1.0	B-3rd	5.png
180.0	1.0	C-1st	2.png
182.0	1.0	C-2nd	8.png
184.0	1.0	C-3rd	9.png
186.0	1.0	D-1st	7.png
190.0	1.0	D-2nd	6.png
194.0	1.0	D-3rd	12.png
198.0	1.0	A-1st	11.png
202.0	1.0	A-3rd	1.png
208.0	1.0	C-1st	2.png
212.0	1.0	C-2nd	8.png
214.0	1.0	C-3rd	9.png
218.0	1.0	B-1st	3.png
220.0	1.0	B-2nd	4.png
222.0	1.0	B-3rd	5.png
