onset	duration	trial_type	stim_file
1.0	1	C-1st	6.png
8.0	1	C-3rd	2.png
10.0	1	A-1st	8.png
12.0	1	A-2nd	3.png
14.0	1	A-3rd	11.png
18.0	1	D-1st	5.png
20.0	1	D-2nd	4.png
22.0	1	D-3rd	1.png
26.0	1	B-1st	10.png
28.0	1	B-2nd	12.png
32.0	1	B-3rd	9.png
34.0	1	D-1st	5.png
38.0	1	D-2nd	4.png
40.0	1	D-3rd	1.png
44.0	1	A-1st	8.png
46.0	1	A-2nd	3.png
48.0	1	A-3rd	11.png
56.0	1	B-2nd	12.png
60.0	1	B-3rd	9.png
62.0	1	C-1st	6.png
64.0	1	C-2nd	7.png
66.0	1	C-3rd	2.png
70.0	1	B-1st	10.png
72.0	1	B-2nd	12.png
78.0	1	D-1st	5.png
84.0	1	D-2nd	4.png
86.0	1	D-3rd	1.png
90.0	1	C-1st	6.png
96.0	1	C-3rd	2.png
98.0	1	A-1st	8.png
100.0	1	A-2nd	3.png
102.0	1	A-3rd	11.png
104.0	1	B-1st	10.png
106.0	1	B-2nd	12.png
108.0	1	B-3rd	9.png
110.0	1	D-1st	5.png
114.0	1	D-2nd	4.png
116.0	1	D-3rd	1.png
120.0	1	C-1st	6.png
126.0	1	C-2nd	7.png
128.0	1	C-3rd	2.png
132.0	1	A-1st	8.png
136.0	1	A-2nd	3.png
140.0	1	A-3rd	11.png
142.0	1	D-1st	5.png
144.0	1	D-2nd	4.png
150.0	1	A-1st	8.png
158.0	1	A-3rd	11.png
162.0	1	B-1st	10.png
164.0	1	B-2nd	12.png
168.0	1	B-3rd	9.png
174.0	1	C-1st	6.png
180.0	1	C-2nd	7.png
184.0	1	C-3rd	2.png
186.0	1	A-1st	8.png
192.0	1	A-2nd	3.png
198.0	1	A-3rd	11.png
200.0	1	D-1st	5.png
202.0	1	D-2nd	4.png
206.0	1	C-1st	6.png
208.0	1	C-2nd	7.png
210.0	1	C-3rd	2.png
212.0	1	B-1st	10.png
216.0	1	B-2nd	12.png
222.0	1	B-3rd	9.png
