onset	duration	trial_type	stim_file
0.0	1.0	A-1st	6.png
2.0	1.0	A-2nd	7.png
10.0	1.0	C-1st	1.png
12.0	1.0	C-2nd	5.png
14.0	1.0	C-3rd	3.png
16.0	1.0	D-1st	12.png
18.0	1.0	D-2nd	9.png
24.0	1.0	D-3rd	11.png
26.0	1.0	B-1st	10.png
28.0	1.0	B-2nd	2.png
32.0	1.0	B-3rd	4.png
34.0	1.0	A-1st	6.png
38.0	1.0	A-3rd	8.png
40.0	1.0	D-1st	12.png
42.0	1.0	D-2nd	9.png
46.0	1.0	D-3rd	11.png
48.0	1.0	C-1st	1.png
54.0	1.0	C-2nd	5.png
56.0	1.0	C-3rd	3.png
62.0	1.0	B-2nd	2.png
64.0	1.0	B-3rd	4.png
66.0	1.0	C-1st	1.png
68.0	1.0	C-2nd	5.png
70.0	1.0	C-3rd	3.png
76.0	1.0	A-1st	6.png
80.0	1.0	A-2nd	7.png
82.0	1.0	A-3rd	8.png
86.0	1.0	B-1st	10.png
90.0	1.0	B-2nd	2.png
92.0	1.0	B-3rd	4.png
94.0	1.0	D-1st	12.png
98.0	1.0	D-2nd	9.png
104.0	1.0	D-3rd	11.png
108.0	1.0	B-1st	10.png
112.0	1.0	B-2nd	2.png
118.0	1.0	B-3rd	4.png
120.0	1.0	D-1st	12.png
124.0	1.0	D-3rd	11.png
126.0	1.0	C-1st	1.png
130.0	1.0	C-3rd	3.png
132.0	1.0	A-1st	6.png
138.0	1.0	A-2nd	7.png
144.0	1.0	A-3rd	8.png
146.0	1.0	C-1st	1.png
150.0	1.0	C-2nd	5.png
154.0	1.0	C-3rd	3.png
160.0	1.0	D-1st	12.png
162.0	1.0	D-2nd	9.png
166.0	1.0	D-3rd	11.png
168.0	1.0	A-1st	6.png
174.0	1.0	A-3rd	8.png
176.0	1.0	B-1st	10.png
178.0	1.0	B-2nd	2.png
182.0	1.0	B-3rd	4.png
184.0	1.0	D-1st	12.png
186.0	1.0	D-2nd	9.png
190.0	1.0	D-3rd	11.png
192.0	1.0	B-1st	10.png
198.0	1.0	B-2nd	2.png
200.0	1.0	B-3rd	4.png
204.0	1.0	C-1st	1.png
206.0	1.0	C-2nd	5.png
210.0	1.0	C-3rd	3.png
216.0	1.0	A-1st	6.png
218.0	1.0	A-2nd	7.png
