onset	duration	trial_type	stim_file
0.0	1	D-1st	12.png
2.0	1	D-2nd	9.png
4.0	1	D-3rd	11.png
6.0	1	C-1st	1.png
12.0	1	C-3rd	3.png
16.0	1	B-1st	10.png
18.0	1	B-2nd	2.png
24.0	1	B-3rd	4.png
26.0	1	A-1st	6.png
28.0	1	A-2nd	7.png
30.0	1	A-3rd	8.png
36.0	1	B-1st	10.png
42.0	1	B-2nd	2.png
46.0	1	B-3rd	4.png
54.0	1	A-2nd	7.png
56.0	1	A-3rd	8.png
58.0	1	D-1st	12.png
62.0	1	D-2nd	9.png
64.0	1	D-3rd	11.png
66.0	1	C-1st	1.png
70.0	1	C-2nd	5.png
72.0	1	C-3rd	3.png
78.0	1	A-1st	6.png
80.0	1	A-2nd	7.png
86.0	1	A-3rd	8.png
92.0	1	C-2nd	5.png
94.0	1	C-3rd	3.png
98.0	1	D-1st	12.png
100.0	1	D-2nd	9.png
102.0	1	D-3rd	11.png
104.0	1	B-1st	10.png
112.0	1	B-3rd	4.png
116.0	1	D-1st	12.png
120.0	1	D-2nd	9.png
122.0	1	D-3rd	11.png
124.0	1	A-1st	6.png
126.0	1	A-2nd	7.png
130.0	1	A-3rd	8.png
134.0	1	C-1st	1.png
136.0	1	C-2nd	5.png
140.0	1	C-3rd	3.png
146.0	1	B-2nd	2.png
148.0	1	B-3rd	4.png
150.0	1	D-1st	12.png
152.0	1	D-2nd	9.png
154.0	1	D-3rd	11.png
156.0	1	C-1st	1.png
160.0	1	C-2nd	5.png
166.0	1	C-3rd	3.png
170.0	1	A-1st	6.png
176.0	1	A-2nd	7.png
184.0	1	B-1st	10.png
186.0	1	B-2nd	2.png
190.0	1	B-3rd	4.png
192.0	1	C-1st	1.png
196.0	1	C-2nd	5.png
198.0	1	C-3rd	3.png
200.0	1	B-1st	10.png
202.0	1	B-2nd	2.png
206.0	1	B-3rd	4.png
208.0	1	A-1st	6.png
210.0	1	A-2nd	7.png
216.0	1	A-3rd	8.png
220.0	1	D-2nd	9.png
222.0	1	D-3rd	11.png
