Shape,Triplet,Label
stimuli/png\12.png,1,2
stimuli/png\7.png,2,2
stimuli/png\10.png,3,1
stimuli/png\3.png,4,3
stimuli/png\11.png,1,1
stimuli/png\5.png,3,3
stimuli/png\9.png,1,3
stimuli/png\1.png,2,3
stimuli/png\8.png,2,1
stimuli/png\2.png,3,2
stimuli/png\4.png,4,1
stimuli/png\6.png,4,2
stimuli/png\1.png,2,3
stimuli/png\10.png,3,1
stimuli/png\8.png,2,1
stimuli/png\11.png,1,1
stimuli/png\12.png,1,2
stimuli/png\7.png,2,2
stimuli/png\2.png,3,2
stimuli/png\4.png,4,1
stimuli/png\9.png,1,3
stimuli/png\6.png,4,2
stimuli/png\3.png,4,3
stimuli/png\5.png,3,3
stimuli/png\2.png,3,2
stimuli/png\4.png,4,1
stimuli/png\5.png,3,3
stimuli/png\8.png,2,1
stimuli/png\12.png,1,2
stimuli/png\1.png,2,3
stimuli/png\9.png,1,3
stimuli/png\7.png,2,2
stimuli/png\10.png,3,1
stimuli/png\11.png,1,1
stimuli/png\6.png,4,2
stimuli/png\3.png,4,3
