onset	duration	trial_type	stim_file
1.0	1	D-1st	11.png
4.0	1	D-2nd	5.png
10.0	1	D-3rd	2.png
16.0	1	A-1st	9.png
18.0	1	A-2nd	4.png
24.0	1	C-1st	6.png
26.0	1	C-2nd	7.png
28.0	1	C-3rd	3.png
30.0	1	B-1st	10.png
32.0	1	B-2nd	8.png
36.0	1	C-1st	6.png
40.0	1	C-2nd	7.png
44.0	1	C-3rd	3.png
46.0	1	A-1st	9.png
50.0	1	A-2nd	4.png
52.0	1	A-3rd	12.png
58.0	1	B-1st	10.png
62.0	1	B-2nd	8.png
64.0	1	B-3rd	1.png
68.0	1	D-1st	11.png
70.0	1	D-2nd	5.png
72.0	1	D-3rd	2.png
74.0	1	B-1st	10.png
76.0	1	B-2nd	8.png
78.0	1	B-3rd	1.png
84.0	1	D-1st	11.png
88.0	1	D-2nd	5.png
90.0	1	D-3rd	2.png
94.0	1	A-2nd	4.png
96.0	1	A-3rd	12.png
100.0	1	C-1st	6.png
102.0	1	C-2nd	7.png
106.0	1	C-3rd	3.png
112.0	1	A-1st	9.png
116.0	1	A-2nd	4.png
118.0	1	A-3rd	12.png
122.0	1	B-1st	10.png
128.0	1	B-2nd	8.png
136.0	1	C-1st	6.png
140.0	1	C-2nd	7.png
144.0	1	C-3rd	3.png
148.0	1	D-2nd	5.png
150.0	1	D-3rd	2.png
152.0	1	A-1st	9.png
154.0	1	A-2nd	4.png
158.0	1	A-3rd	12.png
164.0	1	C-1st	6.png
168.0	1	C-2nd	7.png
170.0	1	C-3rd	3.png
172.0	1	B-1st	10.png
178.0	1	B-2nd	8.png
180.0	1	B-3rd	1.png
186.0	1	D-2nd	5.png
192.0	1	D-3rd	2.png
194.0	1	C-1st	6.png
196.0	1	C-2nd	7.png
198.0	1	C-3rd	3.png
200.0	1	B-1st	10.png
202.0	1	B-2nd	8.png
206.0	1	B-3rd	1.png
208.0	1	D-1st	11.png
214.0	1	D-3rd	2.png
218.0	1	A-1st	9.png
220.0	1	A-2nd	4.png
222.0	1	A-3rd	12.png
