Subj, ROI, Voxels
sub-02, CA1, 109
sub-03, CA1, 127
sub-04, CA1, 109
sub-05, CA1, 119
sub-06, CA1, 84
sub-07, CA1, 111
sub-08, CA1, 121
sub-09, CA1, 115
sub-10, CA1, 154
sub-11, CA1, 104
sub-12, CA1, 87
sub-101, CA1, 114
sub-102, CA1, 95
sub-104, CA1, 101
sub-105, CA1, 109
sub-106, CA1, 120
sub-107, CA1, 118
sub-108, CA1, 108
sub-109, CA1, 115
sub-110, CA1, 89
sub-111, CA1, 128
sub-112, CA1, 109
sub-113, CA1, 76
sub-114, CA1, 120
sub-115, CA1, 99
sub-116, CA1, 107
sub-117, CA1, 153
sub-118, CA1, 109
sub-119, CA1, 95
sub-120, CA1, 122
sub-121, CA1, 106
sub-122, CA1, 112
sub-123, CA1, 109
sub-124, CA1, 120
sub-125, CA1, 119
sub-126, CA1, 119
sub-127, CA1, 97
sub-02, CA3, 28
sub-03, CA3, 19
sub-04, CA3, 28
sub-05, CA3, 33
sub-06, CA3, 37
sub-07, CA3, 32
sub-08, CA3, 43
sub-09, CA3, 29
sub-10, CA3, 37
sub-11, CA3, 44
sub-12, CA3, 25
sub-101, CA3, 39
sub-102, CA3, 27
sub-104, CA3, 29
sub-105, CA3, 39
sub-106, CA3, 34
sub-107, CA3, 41
sub-108, CA3, 34
sub-109, CA3, 35
sub-110, CA3, 26
sub-111, CA3, 27
sub-112, CA3, 32
sub-113, CA3, 28
sub-114, CA3, 32
sub-115, CA3, 32
sub-116, CA3, 35
sub-117, CA3, 49
sub-118, CA3, 39
sub-119, CA3, 30
sub-120, CA3, 37
sub-121, CA3, 35
sub-122, CA3, 40
sub-123, CA3, 41
sub-124, CA3, 29
sub-125, CA3, 40
sub-126, CA3, 38
sub-127, CA3, 31
sub-02, Caudate, 438
sub-03, Caudate, 535
sub-04, Caudate, 408
sub-05, Caudate, 580
sub-06, Caudate, 478
sub-07, Caudate, 489
sub-08, Caudate, 570
sub-09, Caudate, 531
sub-10, Caudate, 634
sub-11, Caudate, 428
sub-12, Caudate, 441
sub-101, Caudate, 434
sub-102, Caudate, 373
sub-104, Caudate, 386
sub-105, Caudate, 551
sub-106, Caudate, 425
sub-107, Caudate, 411
sub-108, Caudate, 444
sub-109, Caudate, 431
sub-110, Caudate, 402
sub-111, Caudate, 464
sub-112, Caudate, 409
sub-113, Caudate, 405
sub-114, Caudate, 516
sub-115, Caudate, 445
sub-116, Caudate, 454
sub-117, Caudate, 430
sub-118, Caudate, 494
sub-119, Caudate, 448
sub-120, Caudate, 405
sub-121, Caudate, 376
sub-122, Caudate, 479
sub-123, Caudate, 461
sub-124, Caudate, 466
sub-125, Caudate, 508
sub-126, Caudate, 433
sub-127, Caudate, 470
sub-02, CBM, 6119
sub-03, CBM, 7817
sub-04, CBM, 5851
sub-05, CBM, 7570
sub-06, CBM, 6751
sub-07, CBM, 7338
sub-08, CBM, 7888
sub-09, CBM, 6719
sub-10, CBM, 7904
sub-11, CBM, 5856
