Subj, ROI, Voxels
sub-02, CA1, 165
sub-03, CA1, 136
sub-04, CA1, 157
sub-05, CA1, 151
sub-06, CA1, 150
sub-07, CA1, 157
sub-08, CA1, 146
sub-09, CA1, 156
sub-10, CA1, 142
sub-11, CA1, 146
sub-12, CA1, 158
sub-101, CA1, 138
sub-102, CA1, 135
sub-104, CA1, 167
sub-105, CA1, 158
sub-106, CA1, 138
sub-107, CA1, 153
sub-108, CA1, 156
sub-109, CA1, 157
sub-110, CA1, 164
sub-111, CA1, 166
sub-112, CA1, 146
sub-113, CA1, 135
sub-114, CA1, 150
sub-115, CA1, 145
sub-116, CA1, 143
sub-117, CA1, 143
sub-118, CA1, 143
sub-119, CA1, 140
sub-120, CA1, 148
sub-121, CA1, 153
sub-122, CA1, 140
sub-123, CA1, 163
sub-124, CA1, 141
sub-125, CA1, 151
sub-126, CA1, 157
sub-127, CA1, 143
sub-02, CA3, 45
sub-03, CA3, 40
sub-04, CA3, 47
sub-05, CA3, 36
sub-06, CA3, 40
sub-07, CA3, 52
sub-08, CA3, 36
sub-09, CA3, 44
sub-10, CA3, 43
sub-11, CA3, 51
sub-12, CA3, 38
sub-101, CA3, 46
sub-102, CA3, 36
sub-104, CA3, 50
sub-105, CA3, 44
sub-106, CA3, 30
sub-107, CA3, 51
sub-108, CA3, 36
sub-109, CA3, 44
sub-110, CA3, 55
sub-111, CA3, 52
sub-112, CA3, 47
sub-113, CA3, 47
sub-114, CA3, 47
sub-115, CA3, 47
sub-116, CA3, 40
sub-117, CA3, 48
sub-118, CA3, 48
sub-119, CA3, 49
sub-120, CA3, 53
sub-121, CA3, 51
sub-122, CA3, 60
sub-123, CA3, 54
sub-124, CA3, 42
sub-125, CA3, 46
sub-126, CA3, 56
sub-127, CA3, 42
sub-02, Caudate, 623
sub-03, Caudate, 703
sub-04, Caudate, 642
sub-05, Caudate, 661
sub-06, Caudate, 744
sub-07, Caudate, 705
sub-08, Caudate, 633
sub-09, Caudate, 645
sub-10, Caudate, 584
sub-11, Caudate, 690
sub-12, Caudate, 674
sub-101, Caudate, 602
sub-102, Caudate, 687
sub-104, Caudate, 615
sub-105, Caudate, 621
sub-106, Caudate, 634
sub-107, Caudate, 598
sub-108, Caudate, 608
sub-109, Caudate, 620
sub-110, Caudate, 706
sub-111, Caudate, 654
sub-112, Caudate, 688
sub-113, Caudate, 630
sub-114, Caudate, 701
sub-115, Caudate, 672
sub-116, Caudate, 653
sub-117, Caudate, 626
